"id","autor_id","comrcl_id","team_id","name","lastname","phone","email","gender","city","adress","brith_at","source","type_prospect","raison_sociale","code_post","gsm","assure","last_assure","motif_resil","motif_saise","creat_at"
"11","1",NULL,"2","FATIMA","MOUkop","06604058241","fatimato@gmail.com","0","Salé","Rue tijarine echo markite boulvadr tanger morroco","1970-05-01 00:00:00","Saisie manuelle",NULL,NULL,"11130",NULL,NULL,NULL,NULL,"3","2023-09-11 15:28:06"
"12","7",NULL,"1","samih","mouhajr","06521489","kh@gmai.com","1","saklm","lkjn kjlk","1980-02-01 00:00:00","Saisie manuelle","Particuliers",NULL,"15489",NULL,"Oui",NULL,NULL,"3","2023-09-11 21:31:36"
"13","1",NULL,"1","FATIMAds","MOUHAJER","066152485","khadossj@gmail.com","0","Salé","DR CHOUIKRAT CAIDAT AIN DEFALI JORF EL MELHA","1960-05-01 00:00:00","Saisie manuelle","Particuliers",NULL,"11130",NULL,"Oui",NULL,NULL,"2","2023-09-11 21:36:19"
"14","1",NULL,"1","salamo","alayka","0622222222222222","hjh@gmai.com","1","ddd","daz dzdz ddz","2015-01-01 00:00:00","Saisie manuelle",NULL,NULL,"15987",NULL,NULL,"Non",NULL,"2","2023-09-18 17:36:23"
"15",NULL,NULL,"1","habibi","nabi","0611111111111111111","jg@gmail.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-18 17:37:46"
"16",NULL,NULL,"2","esss","sss","06512489","dd@ghg.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-18 17:50:54"
"17",NULL,NULL,"2","badrman","badr","0625148552","jhd@jhd.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-18 18:32:15"
"18",NULL,"5","1","Uma","Boyer","+1 (738) 839-7712","figoguj@mailinator.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-18 18:35:47"
"19","1","5","1","Courtney","Austin","+1 (993) 403-9698","xokaz@mailinator.com","1","Eum asperiores volup","Eos eligendi deserun","1990-03-20 00:00:00","Revendeur","Particuliers",NULL,"98160","+1 (175) 849-4383","Non","Non",NULL,NULL,"2023-09-18 19:37:02"
"20","1","4","1","Courtney","Austin","+1 (993) 403-9698","xokaz@mailinator.com","1","Eum asperiores volup","Eos eligendi deserun","1990-03-20 00:00:00","Revendeur","Particuliers",NULL,"98160","+1 (175) 849-4383","Non","Non",NULL,NULL,"2023-09-18 19:37:08"
"21",NULL,NULL,"2","Phillips","Perry","+1 (536) 477-6468","logovof@mailinator.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-18 19:41:24"
"22","1",NULL,"2","Eden","Becker","+1 (617) 256-8561","vaqed@mailinator.com","0","Sit fugit voluptat","Sit exercitation a s","1983-01-20 00:00:00","Saisie manuelle","Particuliers",NULL,"11159","+1 (408) 845-1331","Oui","Non",NULL,"1","2023-09-18 19:47:23"
"23","1",NULL,"2","Eden","Becker","+1 (617) 256-8561","vaqed@mailinator.com","0","Sit fugit voluptat","Sit exercitation a s","1983-01-20 00:00:00","Saisie manuelle","Particuliers",NULL,"11159","+1 (408) 845-1331","Oui","Non",NULL,"1","2023-09-18 19:47:29"
"24",NULL,"5","1","breve2","brevdf","025152555","kg@jhf.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-18 19:53:15"
"25","1","8","2","essay","sanget","06224524","jhs@khg.com","1","hgk","kjgk kjhkj","1552-02-11 00:00:00","Propre site","Particuliers",NULL,"15891",NULL,"Oui",NULL,NULL,NULL,"2023-09-18 20:00:32"
"26",NULL,NULL,"2","esayye","estayo","06251485","hgd@kjgd.com",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-18 20:02:00"
"27","1",NULL,"2","Bouchrass","NAJOUIze","0612451212","bochranajoui@gmail.com",NULL,"ggh","tyrty","2020-02-01 00:00:00",NULL,NULL,NULL,"14589",NULL,NULL,NULL,NULL,NULL,"2023-09-20 19:56:46"
"28",NULL,NULL,"2","mouhajers","hindz","0668537517","hiyt43190@gmail.com","1","Sidi Kacem","DR CHOUIKRAT CAIDAT AIN DEFALI JORF EL MELHA","2020-02-01 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-20 21:16:59"
"29",NULL,NULL,"2","badr","bechtioui","06251425","badr@ghk.com","1","kgk","kjkj kjh","2020-02-01 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-20 22:02:45"
"30",NULL,"7","1","charaf","yasdd","0611112224","gh@gmamil.com","1","Rabat","tu fask nr 56 bhya","2050-02-01 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-20 22:22:43"
"31",NULL,"5","1","Julian","Savage","12673724081","cecegir@mailinator.com","0","Minusf","Eos minima qui numqu","2023-09-02 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-20 22:33:03"
"32",NULL,"5","1","bismi","lahOMA","06111111","fgf@df.com","1","qfF","FDQQF QF","0000-12-30 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-21 05:31:10"
"33",NULL,NULL,"2","Bouchratt","NAJOUItt","13027746707","tanajoui@gmail.com","0","Tanger","Rue tijaniene ne 27 kom salé","2023-09-08 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-21 16:38:30"
"34",NULL,NULL,"2","charafe","yassid","0611112224","fgf@df.com","0","Rabat","tu fask nr 56 bhya","2023-09-24 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-21 16:42:10"
"35",NULL,"4","1","adnane","azakhm","+1 (239) 774-3225","fewygulum@mailinator.com","1","A voluptatem Odio a","Explicabo Quasi iur","2015-05-04 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-21 18:40:27"
"36",NULL,"5","1","Bien","recu","+1 (368) 346-5158","bravo@mailinator.com","0","paris","ile frnace ve","1983-04-23 00:00:00","Propre site",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-25 18:28:15"
"37","1",NULL,"2","tetstt","testts","06525542554","JHQSD@JGQSJF.COM","1","IGD","IUQGSID IUQS","2020-02-01 00:00:00","Propre site","Particuliers",NULL,"15896",NULL,"Non","Non",NULL,NULL,"2023-09-28 22:19:24"
"38","1","5","1","mouhajerSD","DShind","0668537517","hS43190@gmail.com","0","Sidi SS","DR CHOUSELHA","2020-02-02 00:00:00","Propre site","Particuliers",NULL,"12569",NULL,"Oui","Oui","1",NULL,"2023-09-28 22:20:17"
"39","1","5","1","dell","pc","060545444","kgqj@kgqsk.vom","0","uehyu","kjhfkj iyouih","2020-02-02 00:00:00","Propre site","Particuliers",NULL,"15898",NULL,"Oui","Non",NULL,NULL,"2023-09-28 22:32:17"
"40","1",NULL,"2","dfs","sdfsdfs","46489787897","sqld@skgd.kjg","0","kgd","jhgsjd kjgsd","2020-02-02 00:00:00","Revendeur","Particuliers",NULL,"15896",NULL,"Oui","Non",NULL,NULL,"2023-09-28 22:34:30"
"41","1",NULL,"2","Bsd","NAJOdq","13027746707","ssnajoui@gmail.com","0","Tanger","Rue tijasqe 27 kom qs","2020-02-01 00:00:00","Propre site","Particuliers",NULL,"12369",NULL,"Oui","Non",NULL,NULL,"2023-09-28 22:47:59"
"42","8",NULL,"1","tesrte","tesrtetst","06052464564","hgakd@jkhdkja.com","0","hd","hadlh","2020-02-02 00:00:00","Revendeur","Particuliers",NULL,"15664",NULL,"Oui","Non",NULL,NULL,"2023-09-29 21:56:41"
"43",NULL,NULL,"2","securt","recfu","+1 (368) 346-5158","bravo@mailinator.com","0","paris","ile frnace ve","1983-04-23 00:00:00","Propre site",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-30 22:15:18"
"44",NULL,"5","1","DFGD","recfu","+1 (368) 346-5158","bravo@mailinator.com","0","paris","ile frnace ve","1983-04-23 00:00:00","Propre site",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-30 22:24:24"
"45",NULL,NULL,"1","TOCKEN","WITH","+1 (368) 346-5158","test_whith_tocken@mailinator.com","0","paris","ile frnace ve","1983-04-23 00:00:00","Propre site",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-30 22:26:12"
"46",NULL,NULL,"2","TOCKEN2","WITH","+1 (368) 346-5158","test_whith_tocken@mailinator.com","0","paris","ile frnace ve","1983-04-23 00:00:00","Propre site",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-30 22:29:12"
"47",NULL,NULL,"2","TCKEN3","WITH","+1 (368) 346-5158","test_whith_tocken@mailinator.com","0","paris","ile frnace ve","1983-04-23 00:00:00","Propre site",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-30 22:31:18"
"48",NULL,NULL,"1","TCKEN5","WITH","+1 (368) 346-5158","test_whith_tocken@mailinator.com","0","paris","ile frnace ve","1983-04-23 00:00:00","Propre site",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-30 22:33:03"
"49",NULL,NULL,"1","secrtypost","WITH","+1 (368) 346-5158","test_whith_tocken@mailinator.com","0","paris","ile frnace ve","1983-04-23 00:00:00","Propre site",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-30 22:50:06"
"50",NULL,NULL,"2","qportev","WITH","+1 (368) 346-5158","test_whith_tocken@mailinator.com","0","paris","ile frnace ve","1983-04-23 00:00:00","Propre site",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2023-09-30 23:00:19"
"51","1",NULL,NULL,"mouhdsf","sdf","0668154517","hind5540@gmail.com","1","Sidi Kacem ( Chérarda )","DR CHOUIKRAT CAIDAT AIN DEFALI JORF EL MELHA","2023-10-07 00:00:00","Saisie manuelle","Particuliers",NULL,"11004",NULL,"Oui","Non",NULL,"2","2023-10-06 17:51:58"
"52","1",NULL,NULL,"charafer","erze","06141156464","li5erou@barir","1","Rabat","tu fask nr 56 bhya","2023-10-07 00:00:00","Revendeur","Particuliers",NULL,"11004",NULL,"Non","Oui","4",NULL,"2023-10-06 17:52:39"
"53","1",NULL,NULL,"FATIrze","MOUHzer","0615245885","lizeru@barir","0","Salé","DR CHOUIzenger morroco","2023-10-01 00:00:00","Saisie manuelle","Professionnels","Quaer","11130",NULL,"Oui","Oui","2","2","2023-10-06 17:53:27"
"54","1",NULL,"1","Boze","NAJze","13027746707","bochzeoui@gmail.com","1","Tanger","Rzeeeeezzeeeeeeeem salé","2023-10-14 00:00:00","Revendeur","Particuliers",NULL,"14589",NULL,"Non","Oui","2",NULL,"2023-10-06 17:54:07"
"55","1",NULL,"1","Boze","NAJze","13027746707","bochzeoui@gmail.com","1","Tanger","Rzeeeeezzeeeeeeeem salé","2023-10-14 00:00:00","Revendeur","Particuliers",NULL,"14589",NULL,"Non","Oui","2",NULL,"2023-10-06 17:54:08"
"56","1",NULL,NULL,"Boze","NAJze","13027746707","bochzeoui@gmail.com","1","Tanger","Rzeeeeezzeeeeeeeem salé","2023-10-14 00:00:00","Revendeur","Particuliers",NULL,"14589",NULL,"Non","Oui","2",NULL,"2023-10-06 17:54:10"
"57","1",NULL,NULL,"badrer","bechze","066125485","badr@ghk.com","1","kgez","kjkj kjh","2023-10-01 00:00:00","Saisie manuelle","Particuliers",NULL,"14589",NULL,"Oui","Non",NULL,"2","2023-10-06 17:55:22"
"58","1",NULL,"1","mouaez","beczer","066125485","mozead@gmail.com","1","paris","rue de lavoia","2023-10-01 00:00:00","Saisie manuelle","Particuliers",NULL,"14589",NULL,"Oui","Non",NULL,"2","2023-10-06 17:56:04"
"59","1",NULL,"1","liozezzz","fourinze","0615245885","lzeou@barir","1","Lyon5","Métropole de Lyon","2023-10-01 00:00:00","Revendeur","Professionnels","Rem","69123",NULL,"Oui","Oui","4",NULL,"2023-10-06 17:56:41"
"60","1",NULL,NULL,"liourzer","fourez","0615245885","liou@barir","1","Lyon","Métropole de Lyon","2023-10-08 00:00:00","Revendeur","Particuliers",NULL,"69123",NULL,"Oui","Oui","2",NULL,"2023-10-06 17:57:19"
"61","1",NULL,NULL,"liosqd","fourqs","0615245885","lisqu@barir","1","Lyos5","Métropole de Lyon","2023-10-07 00:00:00","Revendeur","Particuliers",NULL,"69123",NULL,"Oui","Oui","2",NULL,"2023-10-06 18:43:27"
"62","1",NULL,NULL,"liouredz","fouriz","0615245885","li5ou@barir","1","Lyon5","Métropole de Lyon","2023-10-07 00:00:00","Saisie manuelle","Particuliers",NULL,"69123",NULL,"Oui","Oui","2","1","2023-10-06 19:15:31"
"63","1",NULL,NULL,"lioursda","four","0615245885","liou@barir","1","Lyoazn","Métropole de Lyon","2023-10-07 00:00:00","Propre site","Particuliers",NULL,"69123",NULL,"Oui",NULL,NULL,NULL,"2023-10-06 19:17:35"
"64","1",NULL,NULL,"FATIMAsd","MOUHAJEsqd","0615245885","liosdu@barir","0","Salé","dho markite boulvadr tanger morroco","2023-10-01 00:00:00","Saisie manuelle","Particuliers",NULL,"11130",NULL,NULL,NULL,NULL,"2","2023-10-09 21:55:45"
"65","1",NULL,NULL,"liourzz","fouz","0615245885","zu@barir","1","Lyon5","MétropzLyon","2023-10-01 00:00:00","Propre site","Particuliers",NULL,"69123",NULL,"Non","Non",NULL,NULL,"2023-10-09 22:59:46"
